id,tp_mm_day
2019_02_-60.00_-90.00,2.925214
2019_02_-60.00_-89.75,2.943790
2019_02_-60.00_-89.50,2.959391
2019_02_-60.00_-89.25,2.970746
2019_02_-60.00_-89.00,2.974318
2019_02_-60.00_-88.75,2.956541
2019_02_-60.00_-88.50,2.942190
2019_02_-60.00_-88.25,2.951743
2019_02_-60.00_-88.00,2.961131
2019_02_-60.00_-87.75,2.971474
2019_02_-60.00_-87.50,2.981744
2019_02_-60.00_-87.25,2.972136
2019_02_-60.00_-87.00,2.959166
2019_02_-60.00_-86.75,2.952170
2019_02_-60.00_-86.50,2.946879
2019_02_-60.00_-86.25,2.933121
2019_02_-60.00_-86.00,2.913500
2019_02_-60.00_-85.75,2.906303
2019_02_-60.00_-85.50,2.913412
2019_02_-60.00_-85.25,2.927834
2019_02_-60.00_-85.00,2.956810
2019_02_-60.00_-84.75,2.979273
2019_02_-60.00_-84.50,2.974568
2019_02_-60.00_-84.25,2.970926
2019_02_-60.00_-84.00,2.981066
2019_02_-60.00_-83.75,2.990822
2019_02_-60.00_-83.50,2.999408
2019_02_-60.00_-83.25,3.007692
2019_02_-60.00_-83.00,3.016996
2019_02_-60.00_-82.75,3.026440
2019_02_-60.00_-82.50,3.025571
2019_02_-60.00_-82.25,3.019755
2019_02_-60.00_-82.00,3.016547
2019_02_-60.00_-81.75,3.015456
2019_02_-60.00_-81.50,3.017341
2019_02_-60.00_-81.25,3.023436
2019_02_-60.00_-81.00,3.023675
2019_02_-60.00_-80.75,3.007478
2019_02_-60.00_-80.50,2.995780
2019_02_-60.00_-80.25,3.012735
2019_02_-60.00_-80.00,3.029845
2019_02_-60.00_-79.75,3.024681
2019_02_-60.00_-79.50,3.019545
2019_02_-60.00_-79.25,2.989605
2019_02_-60.00_-79.00,2.955493
2019_02_-60.00_-78.75,2.954262
2019_02_-60.00_-78.50,2.965151
2019_02_-60.00_-78.25,2.967726
2019_02_-60.00_-78.00,2.964862
2019_02_-60.00_-77.75,2.950031
2019_02_-60.00_-77.50,2.921677
2019_02_-60.00_-77.25,2.909808
2019_02_-60.00_-77.00,2.930753
2019_02_-60.00_-76.75,2.949573
2019_02_-60.00_-76.50,2.959003
2019_02_-60.00_-76.25,2.966980
2019_02_-60.00_-76.00,2.950187
2019_02_-60.00_-75.75,2.933279
2019_02_-60.00_-75.50,2.920479
2019_02_-60.00_-75.25,2.907955
2019_02_-60.00_-75.00,2.928867
2019_02_-60.00_-74.75,2.958305
2019_02_-60.00_-74.50,2.967002
2019_02_-60.00_-74.25,2.965379
2019_02_-60.00_-74.00,2.958676
2019_02_-60.00_-73.75,2.947466
2019_02_-60.00_-73.50,2.939353
2019_02_-60.00_-73.25,2.935828
2019_02_-60.00_-73.00,2.930410
2019_02_-60.00_-72.75,2.920131
2019_02_-60.00_-72.50,2.904851
2019_02_-60.00_-72.25,2.858775
2019_02_-60.00_-72.00,2.812909
2019_02_-60.00_-71.75,2.804422
2019_02_-60.00_-71.50,2.795693
2019_02_-60.00_-71.25,2.791080
2019_02_-60.00_-71.00,2.786978
2019_02_-60.00_-70.75,2.771657
2019_02_-60.00_-70.50,2.752444
2019_02_-60.00_-70.25,2.751405
2019_02_-60.00_-70.00,2.762366
2019_02_-60.00_-69.75,2.776390
2019_02_-60.00_-69.50,2.794326
2019_02_-60.00_-69.25,2.800871
2019_02_-60.00_-69.00,2.784676
2019_02_-60.00_-68.75,2.762417
2019_02_-60.00_-68.50,2.715848
2019_02_-60.00_-68.25,2.671740
2019_02_-60.00_-68.00,2.663157
2019_02_-60.00_-67.75,2.654426
2019_02_-60.00_-67.50,2.653347
2019_02_-60.00_-67.25,2.652712
2019_02_-60.00_-67.00,2.627478
