id,tp_mm_day,status,source_branch,source_commit,origin_month
2019_02_-60.00_-90.00,2.925214,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-89.75,2.943790,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-89.50,2.959391,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-89.25,2.970746,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-89.00,2.974318,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-88.75,2.956541,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-88.50,2.942190,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-88.25,2.951743,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-88.00,2.961131,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-87.75,2.971474,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-87.50,2.981744,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-87.25,2.972136,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-87.00,2.959166,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-86.75,2.952170,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-86.50,2.946879,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-86.25,2.933121,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-86.00,2.913500,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-85.75,2.906303,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-85.50,2.913412,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-85.25,2.927834,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-85.00,2.956810,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-84.75,2.979273,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-84.50,2.974568,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-84.25,2.970926,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-84.00,2.981066,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-83.75,2.990822,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-83.50,2.999408,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-83.25,3.007692,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-83.00,3.016996,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-82.75,3.026440,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-82.50,3.025571,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-82.25,3.019755,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-82.00,3.016547,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-81.75,3.015456,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-81.50,3.017341,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-81.25,3.023436,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-81.00,3.023675,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-80.75,3.007478,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-80.50,2.995780,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-80.25,3.012735,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-80.00,3.029845,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-79.75,3.024681,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-79.50,3.019545,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-79.25,2.989605,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-79.00,2.955493,research_only_not_submittable,vermelho,62b3626,2019-01
